trajectory,time,lon,lat
8,2025-09-07 10:50:00,135.00804,33.498478
8,2025-09-07 11:00:00,135.01273,33.498096
8,2025-09-07 11:10:00,135.0164,33.496273
8,2025-09-07 11:20:00,135.01865,33.495876
8,2025-09-07 11:30:00,135.02193,33.495865
8,2025-09-07 11:40:00,135.02467,33.49402
8,2025-09-07 11:50:00,135.025,33.4937
8,2025-09-07 12:00:00,135.02986,33.494953
8,2025-09-07 12:10:00,135.0307,33.495052
8,2025-09-07 12:20:00,135.03307,33.493073
8,2025-09-07 12:30:00,135.03262,33.49319
8,2025-09-07 12:40:00,135.03677,33.492325
8,2025-09-07 12:50:00,135.03831,33.492405
8,2025-09-07 13:00:00,135.03955,33.49182
8,2025-09-07 13:10:00,135.04156,33.490303
8,2025-09-07 13:20:00,135.04483,33.490345
8,2025-09-07 13:30:00,135.0501,33.488438
8,2025-09-07 13:40:00,135.05298,33.488697
8,2025-09-07 13:50:00,135.05779,33.486713
8,2025-09-07 14:00:00,135.05905,33.4849
8,2025-09-07 14:10:00,135.06148,33.48181
8,2025-09-07 14:20:00,135.06151,33.48213
8,2025-09-07 14:30:00,135.06366,33.479847
8,2025-09-07 14:40:00,135.06544,33.479874
8,2025-09-07 14:50:00,135.06519,33.47904
8,2025-09-07 15:00:00,135.06802,33.477802
8,2025-09-07 15:10:00,135.06865,33.47695
8,2025-09-07 15:20:00,135.06894,33.476162
8,2025-09-07 15:30:00,135.06937,33.47439
8,2025-09-07 15:40:00,135.07132,33.472763
8,2025-09-07 15:50:00,135.07257,33.470947
8,2025-09-07 16:00:00,135.07233,33.46903
8,2025-09-07 16:10:00,135.07231,33.468216
8,2025-09-07 16:20:00,135.07278,33.46775
8,2025-09-07 16:30:00,135.07399,33.46667
9,2025-09-07 10:30:00,135.0,33.5
9,2025-09-07 10:40:00,135.00415,33.500298
9,2025-09-07 10:50:00,135.00893,33.500595
9,2025-09-07 11:00:00,135.00993,33.5005
9,2025-09-07 11:10:00,135.01509,33.500214
9,2025-09-07 11:20:00,135.01886,33.49958
9,2025-09-07 11:30:00,135.02173,33.498554
9,2025-09-07 11:40:00,135.02449,33.498634
9,2025-09-07 11:50:00,135.02846,33.497494
9,2025-09-07 12:00:00,135.03166,33.496273
9,2025-09-07 12:10:00,135.03468,33.49703
9,2025-09-07 12:20:00,135.03793,33.496895
9,2025-09-07 12:30:00,135.04312,33.49615
9,2025-09-07 12:40:00,135.04814,33.49647
9,2025-09-07 12:50:00,135.05347,33.49731
9,2025-09-07 13:00:00,135.05684,33.497696
9,2025-09-07 13:10:00,135.06004,33.496784
9,2025-09-07 13:20:00,135.06396,33.49429
9,2025-09-07 13:30:00,135.06752,33.49436
9,2025-09-07 13:40:00,135.07167,33.49492
9,2025-09-07 13:50:00,135.07545,33.49321
9,2025-09-07 14:00:00,135.07756,33.493477
9,2025-09-07 14:10:00,135.08318,33.49161
9,2025-09-07 14:20:00,135.0865,33.491055
9,2025-09-07 14:30:00,135.09084,33.490833
9,2025-09-07 14:40:00,135.09167,33.489754
9,2025-09-07 14:50:00,135.09183,33.488235
9,2025-09-07 15:00:00,135.09023,33.486977
9,2025-09-07 15:10:00,135.09496,33.485435
9,2025-09-07 15:20:00,135.0966,33.485664
9,2025-09-07 15:30:00,135.09575,33.484932
9,2025-09-07 15:40:00,135.09659,33.48282
9,2025-09-07 15:50:00,135.09927,33.480972
9,2025-09-07 16:00:00,135.10298,33.478363
9,2025-09-07 16:10:00,135.10187,33.476257
9,2025-09-07 16:20:00,135.1028,33.47622
9,2025-09-07 16:30:00,135.10272,33.474865
10,2025-09-07 10:30:00,135.0,33.5
10,2025-09-07 10:40:00,135.00385,33.499073
10,2025-09-07 10:50:00,135.00793,33.49933
10,2025-09-07 11:00:00,135.01108,33.500362
10,2025-09-07 11:10:00,135.01457,33.499092
10,2025-09-07 11:20:00,135.01854,33.498966
10,2025-09-07 11:30:00,135.02168,33.49775
10,2025-09-07 11:40:00,135.02359,33.497833
10,2025-09-07 11:50:00,135.02669,33.49834
10,2025-09-07 12:00:00,135.03215,33.499313
10,2025-09-07 12:10:00,135.03662,33.49768
10,2025-09-07 12:20:00,135.03978,33.496128
10,2025-09-07 12:30:00,135.0424,33.495674
10,2025-09-07 12:40:00,135.04648,33.49482
10,2025-09-07 12:50:00,135.04933,33.492184
10,2025-09-07 13:00:00,135.05345,33.490852
10,2025-09-07 13:10:00,135.05469,33.490364
10,2025-09-07 13:20:00,135.05785,33.490124
10,2025-09-07 13:30:00,135.06093,33.48972
10,2025-09-07 13:40:00,135.0634,33.48901
10,2025-09-07 13:50:00,135.06602,33.486584
10,2025-09-07 14:00:00,135.0688,33.485397
